title,shop,sales,rating,sale_price,original_price,discount,image
"Kashmiri Pashmina Kani Embroidered Shawl, Winter Wrap oft Ethnic Shawl for Women, Traditional Gift for Her",Shawsans,,4.7,8009.0,16018.0,(50% off),https://i.etsystatic.com/59740729/c/2000/2000/0/140/il/7117ae/7029012800/il_765x1020.7029012800_cdam.jpg
Cream White Embroidered Pashmina Shawl : Kashmiri Floral Wrap,TRENDINGWAVESCRAFT,,4.2,6160.0,12320.0,(50% off),https://i.etsystatic.com/63337261/r/il/4af259/7912158236/il_765x1020.7912158236_ebi4.jpg
"Handmade Kashmiri pure Pashmina Shawl: Floral sozni Embroidered Border,",TooshPashminashawl,,4.7,23700.0,29625.0,(20% off),https://i.etsystatic.com/25734426/r/il/6a16b2/7697313888/il_765x1020.7697313888_c4xa.jpg
"Gorgeous Ivory colored Pashmina with floral Border embroidery, Hand woven shawls, Noor Pashmina, Authentic Kashmiri Art",Noorpashmina,,4.5,29901.0,39869.0,(25% off),https://i.etsystatic.com/37968599/r/il/9bb089/6222496869/il_765x1020.6222496869_7vko.jpg
"Pakistani Embroidered Pashmina Shawl: Kashmiri Embroidery, Wedding Gift",ShawsanShop,,4.9,5905.0,11810.0,(50% off),https://i.etsystatic.com/61780180/c/1024/1024/0/98/il/abfab3/7155506676/il_765x1020.7155506676_ia3r.jpg
"Luxury Himalayan Wool Shawl Beige Blue Paisley Scarf, Elegant Kashmiri Style Stole Wrap for Women, Soft Lightweight Winter Gift",RichynTraders,,4.9,7385.0,10550.0,(30% off),https://i.etsystatic.com/60921567/r/il/3e16ea/7974002649/il_765x1020.7974002649_cwra.jpg
Luxury Kashmiri Pashmina Shawl with  Stone Embroidery – Elegant Rose Pink Evening Wrap,TRENDINGWAVESCRAFT,,4.2,6160.0,12320.0,(50% off),https://i.etsystatic.com/63337261/r/il/2e23c0/7914702302/il_765x1020.7914702302_mle9.jpg
Elegant Black Kashmiri Pashmina Shawl - Floral Gold Embroidery Wrap,TRENDINGWAVESCRAFT,,4.2,7061.0,14123.0,(50% off),https://i.etsystatic.com/63337261/r/il/75a6f3/8133729469/il_765x1020.8133729469_cej0.jpg
"Pashmina Kashmiri Aari Embroidery Scarf, Embroidered Kashmiri Shawl, Winter Wrap, Christmas Gift",ShawsanShop,,4.9,5294.0,10588.0,(50% off),https://i.etsystatic.com/61780180/c/1680/1680/57/881/il/e354ad/7203416459/il_765x1020.7203416459_c60m.jpg
Embroidered Pashmina Shawl: Kashmiri Aari Floral Scarf,Shawsans,,4.7,6456.0,12912.0,(50% off),https://i.etsystatic.com/59740729/c/1800/1800/99/620/il/cb9708/7028399865/il_765x1020.7028399865_cpg1.jpg
"Pashmina Kashmiri Aari Embroidery Scarf, Embroidered Kashmiri Shawl, Winter Wrap, Christmas Gift",Shawsans,,4.7,5294.0,10588.0,(50% off),https://i.etsystatic.com/59740729/c/2000/2000/0/558/il/a21506/6895498794/il_765x1020.6895498794_jayb.jpg
Luxury Pashmina Embroidery Shawl : Ivory Kashmiri Wrap,TRENDINGWAVESCRAFT,,4.2,7061.0,14123.0,(50% off),https://i.etsystatic.com/63337261/r/il/b99b36/8125462383/il_765x1020.8125462383_d8z0.jpg
Mughal Darbar Black Kani Weave Pashmina Shawl: Pure Wool Wrap (40x80 inches),JKSowling,,4.8,13357.0,16697.0,(20% off),https://i.etsystatic.com/26145373/c/1037/1037/0/240/il/5e9af5/7277638961/il_765x1020.7277638961_kpin.jpg
Large Kashmiri Pashmina Kani Weave Shawl: Lightweight & Soft(40x80 Inches),JKSowling,,4.8,10771.0,13465.0,(20% off),https://i.etsystatic.com/26145373/r/il/e19a45/7066296498/il_765x1020.7066296498_dz4p.jpg
